fake_1,fake_2,fake_3,fake_4,fake_5
0.0013459305741542816,0.0008239305869750977,0.0008350763712244033,0.0032655013189233782,0.0038085618281251906
0.0013427112393731117,0.0008229219869785309,0.0006668006126003265,0.0032684273392476083,0.003053144289690924
0.001698609060859108,0.0010399643735103607,0.0012178717199878694,0.004123514176956559,0.00556468740044899
0.002697262758826637,0.001651247854631424,0.0014351132158355712,0.0065483404323972705,0.006554467605937194
0.002000346107100868,0.001224582518737793,0.001226376736553192,0.004854462461224938,0.005601501848686409
0.0019656604417318344,0.0012035392479114533,0.001764806414039612,0.004774649010650063,0.008067262279380035
0.0022893654265159604,0.001401656414669037,0.001740799391658783,0.005562332759848977,0.00795829613446064
0.002245938322758102,0.0013749725476913453,0.0015882943514900208,0.005455786325088883,0.007260253089059067
0.0021739274748319624,0.0013307284371070862,0.0013710170928554533,0.005278686644188309,0.006265731798995209
0.0018560475357526779,0.0011360191063098906,0.001497859561832428,0.004505702330223465,0.006845117893207742
0.0018209258206838609,0.0011145347015075683,0.001478467458875656,0.004420257075182343,0.006754034929860306
0.001759053201293373,0.001076663519542694,0.001454947615058899,0.004269161932221795,0.006640277888763618
0.0012450165384167672,0.0007622463957481384,0.001874415958316803,0.0030245482177056315,0.008553877531874848
0.0013722467430585862,0.0008403517411165238,0.002203682327659607,0.0033361731946982384,0.010063732504237366
0.0013637567707056046,0.0008349005983285904,0.0015145306531505584,0.003311622002772236,0.00691625620960064
0.0011976375334614754,0.0007331684337072373,0.0012655267957763672,0.002907390371016407,0.005771550490844917
0.0012222603955024719,0.000748291219871521,0.001262224281223297,0.002967552973381424,0.005760734432328414
0.0012656976484412192,0.0007748339579515457,0.0013868001941757203,0.003073134234599018,0.006333647468078804
0.0013306590505594254,0.000814615677397728,0.0013082151357250212,0.003230842846683407,0.0059758103126174925
0.0013463969983810425,0.000824210654299736,0.0013276888672428132,0.0032687153131283763,0.006063515477765274
0.0014241699524873733,0.0008718461052589417,0.0012859458271579742,0.0034575924873866083,0.0058730685764438635
0.0014322219037169457,0.0008767864213399888,0.001262508684785843,0.003477147935382271,0.005767058464277459
0.0014660305776351928,0.0008975009427480698,0.0011785147730426788,0.0035592327267445567,0.005382050713289451
0.0015043984242433547,0.0009210019663982392,0.0010668677780942917,0.0036522927985109333,0.004867461959410381
0.0015037813686484337,0.000920700083773613,0.0009530793521718979,0.0036513731971897128,0.004344883751261902
0.0014485350691432,0.0008870501176528931,0.0008646509889678955,0.003518984830430889,0.003943427964437675
0.0013653653793686868,0.0008362881497554779,0.0007906016353683472,0.003318759109131241,0.0036086362281329155
0.0015457318030947685,0.0009467149631195069,0.0007737996075468063,0.00375646664058342,0.0035301909172422413
0.001529923103069687,0.000937071035902977,0.0007909771446304322,0.0037183946848429682,0.003610487831521702
0.00225449809811058,0.001380501206319809,0.0009379401598291397,0.005477159519544983,0.004283800641585064
0.002163979525184059,0.0013247579292469025,0.0010057902578430177,0.005254558901540184,0.004590734218943787
